14:59:30.468 [main] INFO  com.alipay.sofa.jraft.rhea.StoreEngine - [StoreEngine] start successfully: StoreEngine{storeId=-1, startTime=1610348370468, dbPath=null, storeOpts=StoreEngineOptions{storageType=Memory, rocksDBOptions=null, memoryDBOptions=MemoryDBOptions{keysPerSegment=4096}, raftDataPath='/Users/sig/Desktop/code/exchange/seq/data/1', serverAddress=127.0.0.1:8991, commonNodeOptions=NodeOptions [electionTimeoutMs=1000, leaderLeaseTimeRatio=90, snapshotIntervalSecs=3600, catchupMargin=1000, initialConf=, fsm=null, logUri=null, raftMetaUri=null, snapshotUri=null, filterBeforeCopyRemote=false, disableCli=false, timerPoolSize=20, cliRpcThreadPoolSize=8, raftRpcThreadPoolSize=48, enableMetrics=false, snapshotThrottle=null, serviceFactory=com.alipay.sofa.jraft.core.DefaultJRaftServiceFactory@3300f4fd, electionPriority=-1, decayPriorityGap=10, raftOptions=RaftOptions{maxByteCountPerRpc=131072, fileCheckHole=false, maxEntriesSize=1024, maxBodySize=524288, maxAppendBufferSize=262144, maxElectionDelayMs=1000, electionHeartbeatFactor=10, applyBatch=32, sync=true, syncMeta=false, openStatistics=true, replicatorPipeline=true, maxReplicatorInflightMsgs=256, disruptorBufferSize=16384, disruptorPublishEventWaitTimeoutSecs=10, enableLogEntryChecksum=false, readOnlyOptions=ReadOnlySafe}], regionEngineOptionsList=[RegionEngineOptions{regionId=-1, startKey='null', startKeyBytes=null, endKey='null', endKeyBytes=null, raftGroupId='default-group-cluster--1', raftDataPath='/Users/sig/Desktop/code/exchange/seq/data/1/raft_data_region_-1_8991', nodeOptions=NodeOptions [electionTimeoutMs=1000, leaderLeaseTimeRatio=90, snapshotIntervalSecs=3600, catchupMargin=1000, initialConf=127.0.0.1:8891,127.0.0.1:8892,127.0.0.1:8893, fsm=com.alipay.sofa.jraft.rhea.storage.KVStoreStateMachine@61e94def, logUri=/Users/sig/Desktop/code/exchange/seq/data/1/raft_data_region_-1_8991/log, raftMetaUri=/Users/sig/Desktop/code/exchange/seq/data/1/raft_data_region_-1_8991/meta, snapshotUri=/Users/sig/Desktop/code/exchange/seq/data/1/raft_data_region_-1_8991/snapshot, filterBeforeCopyRemote=false, disableCli=false, timerPoolSize=20, cliRpcThreadPoolSize=8, raftRpcThreadPoolSize=48, enableMetrics=true, snapshotThrottle=null, serviceFactory=com.alipay.sofa.jraft.core.DefaultJRaftServiceFactory@3300f4fd, electionPriority=-1, decayPriorityGap=10, raftOptions=RaftOptions{maxByteCountPerRpc=131072, fileCheckHole=false, maxEntriesSize=1024, maxBodySize=524288, maxAppendBufferSize=262144, maxElectionDelayMs=1000, electionHeartbeatFactor=10, applyBatch=32, sync=true, syncMeta=false, openStatistics=true, replicatorPipeline=true, maxReplicatorInflightMsgs=256, disruptorBufferSize=16384, disruptorPublishEventWaitTimeoutSecs=10, enableLogEntryChecksum=false, readOnlyOptions=ReadOnlySafe}], serverAddress=127.0.0.1:8991, initialServerList='127.0.0.1:8891,127.0.0.1:8892,127.0.0.1:8893', metricsReportPeriod=300}], initialServerList='127.0.0.1:8891,127.0.0.1:8892,127.0.0.1:8893', heartbeatOptions=null, useSharedRpcExecutor=false, readIndexCoreThreads=32, leaderStateTriggerCoreThreads=4, snapshotCoreThreads=1, snapshotMaxThreads=32, cliRpcCoreThreads=32, raftRpcCoreThreads=64, kvRpcCoreThreads=64, metricsReportPeriod=300, leastKeysOnSplit=10000}, started=false}.
14:59:30.471 [main] INFO  com.alipay.sofa.jraft.rhea.client.DefaultRheaKVRpcService - [DefaultRheaKVRpcService] start successfully, options: RpcOptions{callbackExecutorCorePoolSize=32, callbackExecutorMaximumPoolSize=64, callbackExecutorQueueCapacity=512, rpcTimeoutMillis=5000}.
14:59:30.478 [main] INFO  com.alipay.sofa.jraft.rhea.util.concurrent.NamedThreadFactory - Creates new Thread[parallel-kv-executor #0,5,main].
14:59:30.479 [main] INFO  com.alipay.sofa.jraft.rhea.util.concurrent.NamedThreadFactory - Creates new Thread[parallel-kv-executor #1,5,main].
14:59:30.479 [main] INFO  com.alipay.sofa.jraft.rhea.util.concurrent.NamedThreadFactory - Creates new Thread[parallel-kv-executor #2,5,main].
14:59:30.479 [parallel-kv-executor #0] INFO  com.alipay.sofa.jraft.rhea.util.concurrent.disruptor.TaskHandler - Task handler on start: parallel-kv-executor #0.
14:59:30.480 [main] INFO  com.alipay.sofa.jraft.rhea.util.concurrent.NamedThreadFactory - Creates new Thread[parallel-kv-executor #3,5,main].
14:59:30.479 [parallel-kv-executor #1] INFO  com.alipay.sofa.jraft.rhea.util.concurrent.disruptor.TaskHandler - Task handler on start: parallel-kv-executor #1.
14:59:30.480 [main] INFO  com.alipay.sofa.jraft.rhea.util.concurrent.NamedThreadFactory - Creates new Thread[parallel-kv-executor #4,5,main].
14:59:30.480 [parallel-kv-executor #2] INFO  com.alipay.sofa.jraft.rhea.util.concurrent.disruptor.TaskHandler - Task handler on start: parallel-kv-executor #2.
14:59:30.481 [main] INFO  com.alipay.sofa.jraft.rhea.util.concurrent.NamedThreadFactory - Creates new Thread[parallel-kv-executor #5,5,main].
14:59:30.480 [parallel-kv-executor #3] INFO  com.alipay.sofa.jraft.rhea.util.concurrent.disruptor.TaskHandler - Task handler on start: parallel-kv-executor #3.
